accommod,unit,hotelsize,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
BEDRM,PC,GE250,EA	73.51 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,GE250,EL	: 	64.6 	64.1 	61.7 	60.7 	59.3 	57.2 	57.2 
BEDRM,PC,GE250,ES	77.72 	78.48 	79.75 	80.22 	76.65 	75.1 	73.6 	72.1 
BEDRM,PC,GE250,EU27_2007	72.6 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,GE250,EU27_2020	72.45 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,GE250,EU28	72.45 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,GE250,HR	68.9 	67.5 	66.6 	61.3 	61.6 	60.4 	58.6 	: 
BEDRM,PC,GE250,HU	71.4 	71.2 	70.6 	67.9 	65.3 	63.7 	: 	: 
BEDRM,PC,GE250,IS	: 	: 	: 	: 	: 	79.7 	72.9 	67.1 
BEDRM,PC,GE250,LT	54 	57.9 	65.3 	63.4 	58.2 	59.8 	60.5 	61.1 
BEDRM,PC,GE250,LV	59.2 	62 	57.35 	49.3 	: c	: c	: 	: c
BEDRM,PC,GE250,MT	77.8 	79.8 	78.4 	76.8 	75 	72.8 	69.9 	66.5 
BEDRM,PC,GE250,NO	: 	: 	: 	55.7 	56.9 	57.2 	57.5 	57.6 
BEDRM,PC,GE250,PL	65.8 	67.8 	69.2 	66.3 	65.1 	60.5 	60.8 	59 
BEDRM,PC,GE250,RO	: 	: 	: 	: 	: 	45.4 	43.7 	42.1 
BEDRM,PC,GE250,SE	73 	72 	70.76 	70.88 	68.72 	65.9 	63.8 	64.6 
BEDRM,PC,GE250,UK	: 	: 	: 	78 	78.3 	: 	75.9 	: 
BEDRM,PC,LT25,BG	23.3 	21.9 	21.3 	20.5 	20.6 	20.4 	20.6 	20.3 
BEDRM,PC,LT25,CY	38.5 	43.2 	41.1 	39 	32 	34.2 	: 	: 
BEDRM,PC,LT25,CZ	31.5 	30.5 	29.3 	26 	26.9 	26.8 	26.4 	20 
BEDRM,PC,LT25,EA	40.93 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,LT25,EL	: 	26.3 	25.4 	23.9 	24 	23.7 	23 	23 
BEDRM,PC,LT25,ES	41.09 	39.15 	39.21 	37.87 	34.9 	31.1 	29.1 	28.7 
BEDRM,PC,LT25,EU27_2007	40.5 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,LT25,EU27_2020	40.77 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,LT25,EU28	40.77 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,LT25,HR	44.2 	43.7 	42.6 	41.3 	39.4 	38 	36.2 	: 
BEDRM,PC,LT25,HU	36.1 	35.8 	34.3 	32.6 	30.6 	29.2 	: 	: 
BEDRM,PC,LT25,IS	: 	: 	: 	: 	: 	38.2 	29.9 	30.9 
BEDRM,PC,LT25,LT	43.1 	41.1 	37 	34.6 	29.4 	35.4 	36.5 	33.5 
BEDRM,PC,LT25,LV	25.1 	24.3 	22.42 	21.3 	21.4 	24.8 	22.8 	24.2 
BEDRM,PC,LT25,MT	51.5 	50.3 	43.4 	40.8 	36.1 	32.1 	37.6 	29 
BEDRM,PC,LT25,NO	: 	: 	: 	36.8 	35.5 	33.9 	31.8 	34.9 
BEDRM,PC,LT25,PL	49.9 	49 	48 	46.7 	44.5 	42 	40.8 	40.4 
BEDRM,PC,LT25,RO	: 	: 	: 	: 	: 	31.1 	27.9 	29.6 
BEDRM,PC,LT25,SE	40 	41 	42.4 	41.58 	38.56 	36.1 	34.5 	33.3 
BEDRM,PC,LT25,UK	: 	: 	: 	51.9 	51.1 	: 	48.5 	: 
BEDRM,PC,TOTAL,AT	56 	56 	55 	54 	52 	: 	: 	: 
BEDRM,PC,TOTAL,BE	0.66 	0.65 	0.62 	56 	61.54 	: c	54.6 	53.6 
BEDRM,PC,TOTAL,BG	57.8 	58.1 	57.1 	55.2 	48.7 	49.4 	52.1 	49.6 
BEDRM,PC,TOTAL,CH	: 	: 	: 	51.33 	51.5 	52 	51.6 	50.5 
BEDRM,PC,TOTAL,CY	68.6 	71.2 	74.6 	69.9 	63 	62.7 	61.5 	64 
BEDRM,PC,TOTAL,CZ	50.9 	50.1 	49.8 	46.4 	43 	44.7 	41.3 	38.6 
BEDRM,PC,TOTAL,DE	63.04 	62.72 	62.07 	61.8 	60.23 	59.1 	57.9 	57.1 
BEDRM,PC,TOTAL,DK	62 	62 	62 	62 	61 	57 	55 	54 
BEDRM,PC,TOTAL,EA	60.09 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,TOTAL,EE	56 	56 	55 	54 	52 	51 	52 	52 
BEDRM,PC,TOTAL,EL	: 	51.2 	50.2 	47.7 	46.8 	46.2 	44.2 	44.1 
BEDRM,PC,TOTAL,ES	67.22 	66.77 	67.07 	65.72 	61.97 	59.2 	57.2 	56.1 
BEDRM,PC,TOTAL,EU27_2007	59.22 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,TOTAL,EU27_2020	59.24 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,TOTAL,EU28	59.24 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,TOTAL,FI	55.04 	54.28 	54.76 	52.9 	51.13 	50.3 	50 	51.3 
BEDRM,PC,TOTAL,FR	62.4 	62.5 	61.2 	58.4 	59 	59.1 	59.3 	60.3 
BEDRM,PC,TOTAL,HR	60.6 	59.8 	59.2 	57.3 	54.4 	53 	52.6 	: 
BEDRM,PC,TOTAL,HU	56.8 	56.3 	55 	52 	49.8 	47.8 	45.7 	43.4 
BEDRM,PC,TOTAL,IE	: 	: 	: 	71 e	68 e	61 e	58 e	58 e
